RK,NAME,TEAM,SALARY,YEAR
1,Stephen Curry,Golden State Warriors,43006362,2021
2,Chris Paul,Phoenix Suns,41358814,2021
3,Russell Westbrook,Washington Wizards,41358814,2021
4,James Harden,Brooklyn Nets,41254920,2021
5,John Wall,Houston Rockets,41254920,2021
6,Kevin Durant,Brooklyn Nets,40108950,2021
7,LeBron James,Los Angeles Lakers,39219565,2021
8,Paul George,LA Clippers,35450412,2021
9,Klay Thompson,Golden State Warriors,35361360,2021
10,Mike Conley,Utah Jazz,34502130,2021
11,Kemba Walker,Boston Celtics,34379100,2021
12,Jimmy Butler,Miami Heat,34379100,2021
13,Kawhi Leonard,LA Clippers,34379100,2021
14,Tobias Harris,Philadelphia 76ers,34358850,2021
15,Khris Middleton,Milwaukee Bucks,33051724,2021
16,Anthony Davis,Los Angeles Lakers,32742000,2021
17,Kyrie Irving,Brooklyn Nets,31742000,2021
18,Damian Lillard,Portland Trail Blazers,31626953,2021
19,Kevin Love,Cleveland Cavaliers,31258256,2021
20,Pascal Siakam,Toronto Raptors,30559200,2021
21,Ben Simmons,Philadelphia 76ers,30559200,2021
22,Kyle Lowry,Toronto Raptors,30500000,2021
23,Steven Adams,New Orleans Pelicans,29592696,2021
24,Joel Embiid,Philadelphia 76ers,29542010,2021
25,Andrew Wiggins,Golden State Warriors,29542010,2021
26,Nikola Jokic,Denver Nuggets,29542010,2021
27,Devin Booker,Phoenix Suns,29467800,2021
28,Karl-Anthony Towns,Minnesota Timberwolves,29467800,2021
29,Kristaps Porzingis,Dallas Mavericks,29467800,2021
30,CJ McCollum,Portland Trail Blazers,29354152,2021
31,Bradley Beal,Washington Wizards,28751775,2021
32,D'Angelo Russell,Minnesota Timberwolves,28649250,2021
33,Gordon Hayward,Charlotte Hornets,28500000,2021
34,Otto Porter Jr.,Orlando Magic,28489237,2021
35,DeMar DeRozan,San Antonio Spurs,27739975,2021
36,Giannis Antetokounmpo,Milwaukee Bucks,27528090,2021
37,Rudy Gobert,Utah Jazz,27525281,2021
38,Al Horford,Oklahoma City Thunder,27500000,2021
39,Jamal Murray,Denver Nuggets,27285000,2021
40,Brandon Ingram,New Orleans Pelicans,27285000,2021
41,Jrue Holiday,Milwaukee Bucks,26231111,2021
42,Nikola Vucevic,Chicago Bulls,26000000,2021
43,Chandler Parsons,Atlanta Hawks,25102511,2021
44,Buddy Hield,Sacramento Kings,24701834,2021
45,LaMarcus Aldridge,Brooklyn Nets,24000000,2021
46,Jaylen Brown,Boston Celtics,23735118,2021
47,Draymond Green,Golden State Warriors,22246956,2021
48,Harrison Barnes,Sacramento Kings,22215909,2021
49,Fred VanVleet,Toronto Raptors,21250000,2021
50,Victor Oladipo,Miami Heat,21000000,2021
51,Malcolm Brogdon,Indiana Pacers,20700000,2021
52,Domantas Sabonis,Indiana Pacers,19800000,2021
53,Gary Harris,Orlando Magic,19610714,2021
54,Zach LaVine,Chicago Bulls,19500000,2021
55,Danilo Gallinari,Atlanta Hawks,19500000,2021
56,Jerami Grant,Detroit Pistons,19050000,2021
57,Tim Hardaway Jr.,Dallas Mavericks,18975000,2021
58,Terry Rozier,Charlotte Hornets,18900000,2021
59,Julius Randle,New York Knicks,18900000,2021
60,Allen Crabbe,Minnesota Timberwolves,18500000,2021
61,Aaron Gordon,Denver Nuggets,18136364,2021
62,Goran Dragic,Miami Heat,18000000,2021
63,Myles Turner,Indiana Pacers,18000000,2021
64,Bogdan Bogdanovic,Atlanta Hawks,18000000,2021
65,Bojan Bogdanovic,Utah Jazz,17850000,2021
66,Evan Fournier,Boston Celtics,17150000,2021
67,Ricky Rubio,Minnesota Timberwolves,17000000,2021
68,Eric Bledsoe,New Orleans Pelicans,16875000,2021
69,Eric Gordon,Houston Rockets,16869276,2021
70,Timofey Mozgov,Orlando Magic,16720000,2021
71,Caris LeVert,Indiana Pacers,16203704,2021
72,Joe Harris,Brooklyn Nets,16071429,2021
73,James Johnson,New Orleans Pelicans,16047100,2021
74,Dennis Schroder,Los Angeles Lakers,16000000,2021
75,Clint Capela,Atlanta Hawks,16000000,2021
76,Cody Zeller,Charlotte Hornets,15415730,2021
77,Danny Green,Philadelphia 76ers,15365853,2021
78,Davis Bertans,Washington Wizards,15000000,2021
79,Andre Iguodala,Miami Heat,15000000,2021
80,Jonas Valanciunas,Memphis Grizzlies,15000000,2021
81,Marcus Morris Sr.,LA Clippers,14888721,2021
82,Luke Babbitt,Miami Heat,14651700,2021
83,Rudy Gay,San Antonio Spurs,14500000,2021
84,Kelly Oubre Jr.,Golden State Warriors,14375000,2021
85,Dejounte Murray,San Antonio Spurs,14286000,2021
86,Will Barton,Denver Nuggets,13723214,2021
87,Marcin Gortat,LA Clippers,13565218,2021
88,Thaddeus Young,Chicago Bulls,13545000,2021
89,Patty Mills,San Antonio Spurs,13535714,2021
